email,invite_code,invite_link,source,activated,activation_status,activation_message
ones-batch-20260320155612-0ocd7sws-1@example.com,rnkD6o1EVTaaMwEYpCrSNDxg9aJLoZBb,https://x1115-k3s-11.k3s-dev.myones.net/project/?org_uuid=M81VR3T9&region_uuid=default#/guest/joinTeam?invitation=rnkD6o1EVTaaMwEYpCrSNDxg9aJLoZBb,file,yes,success,"{""region_uuid"": ""default"", ""org_uuid"": ""M81VR3T9"", ""org_user_uuid"": ""BLEskpPt""}"
ones-batch-20260320155612-0ocd7sws-2@example.com,ZgHIdwxu3TNyhsP6sjHJTYfmc71auuqf,https://x1115-k3s-11.k3s-dev.myones.net/project/?org_uuid=M81VR3T9&region_uuid=default#/guest/joinTeam?invitation=ZgHIdwxu3TNyhsP6sjHJTYfmc71auuqf,file,yes,success,"{""region_uuid"": ""default"", ""org_uuid"": ""M81VR3T9"", ""org_user_uuid"": ""6sTsoQUB""}"
ones-batch-20260320155612-0ocd7sws-3@example.com,RsxXQEFHpnKAA54ukWtlem17WIA7W1Gh,https://x1115-k3s-11.k3s-dev.myones.net/project/?org_uuid=M81VR3T9&region_uuid=default#/guest/joinTeam?invitation=RsxXQEFHpnKAA54ukWtlem17WIA7W1Gh,file,yes,success,"{""region_uuid"": ""default"", ""org_uuid"": ""M81VR3T9"", ""org_user_uuid"": ""UWkxSFfB""}"
ones-batch-20260320155612-0ocd7sws-4@example.com,cetVsUUpCDNIEVAAWKiDISDldOH1EF2w,https://x1115-k3s-11.k3s-dev.myones.net/project/?org_uuid=M81VR3T9&region_uuid=default#/guest/joinTeam?invitation=cetVsUUpCDNIEVAAWKiDISDldOH1EF2w,file,yes,success,"{""region_uuid"": ""default"", ""org_uuid"": ""M81VR3T9"", ""org_user_uuid"": ""TaAwQuhF""}"
ones-batch-20260320155612-0ocd7sws-5@example.com,NXVEDuhxmrjhVGmb8WewNkIfOYQ1i6nE,https://x1115-k3s-11.k3s-dev.myones.net/project/?org_uuid=M81VR3T9&region_uuid=default#/guest/joinTeam?invitation=NXVEDuhxmrjhVGmb8WewNkIfOYQ1i6nE,file,yes,success,"{""region_uuid"": ""default"", ""org_uuid"": ""M81VR3T9"", ""org_user_uuid"": ""RpptAThp""}"
ones-batch-20260320155612-0ocd7sws-6@example.com,L1z91uOoEjrFcXEOEc9b5moeBP2ad7sP,https://x1115-k3s-11.k3s-dev.myones.net/project/?org_uuid=M81VR3T9&region_uuid=default#/guest/joinTeam?invitation=L1z91uOoEjrFcXEOEc9b5moeBP2ad7sP,file,yes,success,"{""region_uuid"": ""default"", ""org_uuid"": ""M81VR3T9"", ""org_user_uuid"": ""AGiARbuV""}"
ones-batch-20260320155612-0ocd7sws-7@example.com,AwwlYZjjv9Xc2ImA3rIbV3cZFlgFcVvx,https://x1115-k3s-11.k3s-dev.myones.net/project/?org_uuid=M81VR3T9&region_uuid=default#/guest/joinTeam?invitation=AwwlYZjjv9Xc2ImA3rIbV3cZFlgFcVvx,file,yes,success,"{""region_uuid"": ""default"", ""org_uuid"": ""M81VR3T9"", ""org_user_uuid"": ""RYssBNJs""}"
ones-batch-20260320155612-0ocd7sws-8@example.com,f7W4PCeUrFnDWHunDMWo6i6czeN3nhl7,https://x1115-k3s-11.k3s-dev.myones.net/project/?org_uuid=M81VR3T9&region_uuid=default#/guest/joinTeam?invitation=f7W4PCeUrFnDWHunDMWo6i6czeN3nhl7,file,yes,success,"{""region_uuid"": ""default"", ""org_uuid"": ""M81VR3T9"", ""org_user_uuid"": ""QyKTjasD""}"
ones-batch-20260320155612-0ocd7sws-9@example.com,7r2eOJwBqtMAtIWNFC2rcCKtNhu3IIUu,https://x1115-k3s-11.k3s-dev.myones.net/project/?org_uuid=M81VR3T9&region_uuid=default#/guest/joinTeam?invitation=7r2eOJwBqtMAtIWNFC2rcCKtNhu3IIUu,file,yes,success,"{""region_uuid"": ""default"", ""org_uuid"": ""M81VR3T9"", ""org_user_uuid"": ""QeWXXjCa""}"
ones-batch-20260320155612-0ocd7sws-10@example.com,lUuFYcmd0ZeSsqOrx6I1BiPt7KFWNdlP,https://x1115-k3s-11.k3s-dev.myones.net/project/?org_uuid=M81VR3T9&region_uuid=default#/guest/joinTeam?invitation=lUuFYcmd0ZeSsqOrx6I1BiPt7KFWNdlP,file,yes,success,"{""region_uuid"": ""default"", ""org_uuid"": ""M81VR3T9"", ""org_user_uuid"": ""RQdYTEcG""}"
